Event Type,Date,Latitude,Longitude,Region,Zone,Woreda,Kebele,Town,Injuries,Fatalities,What Happened?,Merged,Notes
Peaceful Protest,1/21/2025,13.49136111,39.45270007,Tigray,Mekelle,,,,None,None,"On January 21, 2025, thousands of Muslim protesters took to the streets in Mekelle, Tigray’s regional capital, demanding action over the suspension of female Muslim students from schools in Axum due to a hijab ban imposed by local educational authorities. The protesters called for the immediate enforcement of a court ruling temporarily suspending the ban. The Islamic Affairs Supreme Council in Addis Ababa and the regional Islamic Affairs Council, which organized the rally, argued that the ban was unconstitutional and violated the human rights of Muslim women. However, local educational officials defended the ban, claiming their actions were in line with the law. Axum holds significant religious importance to the Ethiopian Orthodox Church.",Peaceful Protest 1/21/2025,
Military Action,1/21/2025,4.814112032,38.32525153,Oromia,"Diida Haraa woreda,",,,,None,None,"On the night of January 21st, the OLA attacked a government police camp in Diida Haraa kebele, Borena Zone. Unknown number of militias and community members were killed. An unknown number of police officers and militias were kidnapped.",Military Action 1/21/2025,
Peaceful Protest,1/23/2025,14.16353692,38.89325225,Tigray,Adwa,,,,None,None,"On January 23rd, Tigray TV: Protesters in Adwa, Tigray, held a peaceful rally demanding the return of displaced people to their homes and accountability for ongoing crises. Participants, including students, women, and elders, called on the federal government and the international community to address their concerns. The rally is set to culminate in a larger demonstration at Adwa Stadium on February 18th.",Peaceful Protest 1/23/2025,
Military Action,1/23/2025,11.95094005,36.85483864,Amhara,Alafa,,,,None,None,"On January 23,2025 According to victims and families told to BBC Amharic, in Alafa, west Gojjam Zone  government force were attacked and killed 20 people  in one day.",Military Action 1/23/2025,
Peaceful Protest,1/26/2025,13.49783967,39.47151685,Tigray,Mekelle,,,,None,None,"On January 26,2025 Tensions in the Tigray region are escalating as demonstrations both supporting and opposing the recent decision announced by senior commanders of the armed forces reportedly loyal to Debretsion are scheduled to take place tomorrow, January 26, 2025, across various parts of the region. The Debretsion faction of the TPLF has called for rallies in support of the commanders' decision, despite the Tigray Regional Police Commission declining their request for security and recommending the events be postponed. In response, the faction announced that demonstrations will proceed as planned in major towns, including Mekelle, with assurances from Tigray security forces that they will provide security. Simultaneously, protests opposing the commanders' decision while supporting the Tigray Interim Administration are expected in towns within Tigray's eastern zone, increasing the risk of tensions.",Peaceful Protest 1/26/2025,
Violent Protest,1/26/2025,13.78629268,39.60246509,Tigray,Wukro,,,,None,None,"A demonstration in Wukro today, January 26, turned violent as security forces and militia allegedly intervened to disperse protesters opposing recent decisions made by pro-Debretsion security forces commanders. Gunfire was reportedly heard, and several pro-Getachew demonstrators were arrested. The Tigray region remains tense, with divisions deepening between factions supporting and opposing the pro-Debretsion commanders’ decisions. More demonstrations, both supporting and opposing these decisions, are expected tomorrow, January 27, particularly in Mekelle and the southeastern zone, despite the Tigray Regional Police Commission declining to provide security for a planned rally.",Violent Protest 1/26/2025,
Battles,1/28/2025,10.05719443,38.99634582,Amhara,Alem ketma town,,,,None,None,"On January 28,2025 in North Shewa, Alem ketma town active clashes between ENDF and FANO militants are reported.  Due to the conflict  unknown civilians have been wounded and killed.",Battles 1/28/2025,
Military Action,1/28/2025,8.165029494,38.64337179,Oromia,Dugda worda,,,,None,None,"On January 28,2025, the OLA declare that held attacked regional government force in Dugda worda in Meki Area.Due to this attack unformed number of government militants have been killed.",Military Action 1/28/2025,
Battles,1/28/2025,10.29837144,37.46166947,Amhara,Debr Eliyas,,,,None,None,"On January 28,2025 in East Gojam Zone, Debr Eliyas area fighting between ENDF and FANO militants continued. Regarding to the conflict unformed number of civilians and combatants wounded and killed.",Battles 1/28/2025,
Natural Disaster,1/28/2025,9.195577897,40.668304,Afar,Gerba,,,,None,None,"On January 28,2025, a 4.50 magnitude Earthquake happened in Gerba Afar Region 14 miles WNW of Asbe Teferi Ethiopia, repots shows that the Quake is Noticeable Shaking of Indoor Objects.",Natural Disaster 1/28/2025,
