Event Type,COM Personnel?,Date,Latitude,Longitude,Region,Zone,Woreda,Kebele,Town,Injuries,Fatalities,Notes,Merged
Robbery,NO,1/12/2025,9.00167,38.84871,Shewa,,,,Addis Ababa,None,None,"On January 12,2024 at around 9pm in Lemi Kura Sub City Woreda 9 Tesfaye Teka (LES) was walking from Summit Pepsi Factory area towards his residence which is on the way through Embassy of Saudi Arabia. Three robbers Parked a car with lights on by his walkway and when he was trying to pass the car two of them came to him and hold his neck and smashed his chest, the other one punched him on the chest and Tesfaye gets fainted, after that when he wakes up, he found himself laying on the street. He immediately reported the incident to the local Police. Tesfay's work ID (Badge), National ID, Resident Id, Driver's License, Insurance card, ATM cards, personal phone and 3,000 ETB were taken by the robbers.",Robbery 1/12/2025
Robbery,NO,1/12/2025,8.99695,38.88577,Shewa,,,,Addis Ababa,None,None,"On January12,2025 morning at 0546 hrs. LGF member reported via phone that, he was robbed by two unknown peoples while heading to Embassy for his regular duty. Perpetrators took his belongings such as Cellphone, Embassy ID, wallet and 1500 Ethiopian birr at Bole-Arabisa, specifically water tanker area. Hence, I advised him to report to the area police and to go to hospital for medical checkup.",Robbery 1/12/2025
Kidnapping,NO,1/23/2025,9.503806432,38.67354901,Shewa,,,,Oromia,None,None,"On January 23,2025, The rebel Oromo Liberation Army (OLA) abducted approximately 50 civilians, including several women, in Yaya Gullele district, North Shewa zone, Oromia region, on Thursday. The victims, mainly business people, were traveling from Debre Libanos district to Yaya Gullele by truck when they were captured. This follows a similar attack a few weeks ago, in which the OLA killed three zonal administration officials, one subdistrict official, and a driver, while also kidnapping five other subdistrict officials.",Kidnapping 1/23/2025
Robbery,NO,1/26/2025,8.99654,38.72579,Shewa,,,,Addis Ababa,None,None,"On January 26,2025 at 16:10 hr occupant of Victor # 645 reported to MOP that his 14 years old son walking to the home around ICS school was snatched his cell phone by robbers pretending sick.Area police was  informed to pay special attention to the situation.",Robbery 1/26/2025
Kidnapping,NO,1/28/2025,11.58511929,37.36769073,Shewa,,,,Amhara,Yes,None,"On January 28,2025, an incident of kidnapping of one Bajaj driver and one child passenger has happened in Bahirdar city around Kebele 14.",Kidnapping 1/28/2025
Other,NO,1/29/2025,9.07129,38.8733,Shewa,,,,Addis Ababa,Yes,None,"On January 29, 2025 around 05:00hr LGF member reported that robbers approached and stabbed him by knife on different parts of his body and managed to escape. This event happened around Yeka- Abado Condominium while victim was coming to Embassy to submit Sick leave.",Other 1/29/2025
Murder,NO,2/1/2025,11.58754937,37.3875993,Shewa,,,,Addis Ababa,None,None,"On February 1,2025 a surgeon Doctor was killed in capital of Amhara Regional state, Bahir Dar City by unidentified assailant. The deceased was killed in his car while heading home from his work. The perpetrators stil Unknown.",Murder 2/1/2025
Other,NO,2/2/2025,9.00457,38.88857,Shewa,,,,Addis Ababa,None,None,"On Feb. 02, 2025, around 07:40 hrs. two Embassy compound guards called through cellphone and reported that while they were out for physical exercise, and when they approached a place locally called” Ethiopian Airlines staff residential area”, (a junction from Hayat-49 to Arabsa village) strangled from their back by unidentified hoodlums (who were 6 in number). After they lost their consciousness and fell on the road the robbers took 2 cellphones and 5,000 ETB   from each of their pocket, both are directed to report to the area police station and proceed to hospital to get medical examination.",Other 2/2/2025
Other,NO,2/2/2025,9.05766,38.76326,Shewa,,,,Addis Ababa,None,None,"On February 03, 2025, at 10:40 hrs. LGF front post observed and reported about a young male who appeared at MCAC, looking for someone to talk to him. Duty shift supervisor contacted and asked the subject what he needs. The suspect replied that he wants to get access to Embassy SATCHMO center. However, he is displaying an outdated ID, given on 2018. Subject was told that his ID is already expired and needs to update through email, but he was not volunteer to accept the advice., even told the same by an American officer. Instead, he attempted to be violent disobeying to leave the area. Therefore, his expired SATCHMO ID was taken, and police forcedly took him for further investigation.",Other 2/2/2025
Other,NO,2/6/2025,8.990267617,38.784999,Shewa,,,,Addis Ababa,None,None,"On February 6, 2025, around at 2:30pm a child tried to steal US diplomat phone in Bole outside of the Alem building (on the main road). He was a shoe shiner and couldn’t have been older than 10. He rushed him and went for his pockets after he politely declined, shine his shoes. An Addis Ababa City police officer happened to be standing next to me and immediately grabbed the child before he could even fit his hand in my pocket.",Other 2/6/2025
Other,NO,2/6/2025,9.01227,38.8213,Shewa,,,,Addis Ababa,None,None,"On Feb 06, 2025, at 08:53AM LGF at state warehouse reported that, an electric line under transformer at front, across the street near by big store suddenly ignited, creating sparks and fire. But the fire ceased on its own after a short period time without causing further damage.",Other 2/6/2025
Other,NO,2/6/2025,8.977248,38.767251,Shewa,,,,Addis Ababa,None,None,On February 6 2025 at 15:20hr car accident happened between our Embassy motorpool vehicle and ride taxi around Bole Bulbula area (specifically known as MariamMazoriia ),Other 2/6/2025
Other,NO,2/8/2025,10.90549209,40.69727194,Shewa,,,,Shewa,None,None,"On February 8, 2025, the OLA declare that it opene attack in Ethio- Djibouti main road. Due to this attack unkown  number of vehicles were  damaged and transportation interrupted for long hours",Other 2/8/2025
Murder,NO,2/12/2025,9.365572688,38.78048955,Shewa,,,,Shewa,Yes,Yes,"On February 12, 2025, at 1500 hours, Sululta Administrator Abebe Worku has been assassinated by Oromo Liberation Army militants along with security force members in Sululta District Muye Gajo locality shooting. According to Wazema Radio report, there are several injuries and numbers of security forces that are abducted and taken to unidentified location by militants. Sululta town is located 48.2 Km North from Addis in North Shewa zone of Oromia region.",Murder 2/12/2025
Kidnapping,NO,2/14/2025,11.20883609,37.60552356,Shewa,,,,Shewa,None,None,"On February 14, 2025, around at 8: 20 Am 13 teachers (8 female and 5 male) who were teaching at Kore Primary School in North Gojam Zone, Amhara Region were kidnaped by ""fano militants"" and families of hostage say the militants Demand 50,000 birr ransom per hostages.",Kidnapping 2/14/2025
Kidnapping,NO,2/16/2025,8.220989181,33.34863861,Shewa,,,,Shewa,Yes,None,"On February 16, 2025, the peace and security office of the region announced that the Murle militants from South Sudan bordering the Gambela region have not stopped attacking the Nuer and Agnuak zones in the region and abducting children and livestock.",Kidnapping 2/16/2025
Other,NO,2/18/2025,9.059291,38.762108,Shewa,,,,Addis Ababa,None,None,"On February 18,2025 at 13:40 hr. SD noticed a gentleman throwing a rock and damaging door mirrors of customer vehicle plate #UN-0154 that was parked by the roadside opposite to CCAC. Vehicle belongs to IOM and driver was inside the consular office to collect a memo. Event was reported to duty shift supervisor, and instantly reacted, stopped the perpetrator putting him under control with the help of EFP at post. Then respective interdiction was conducted. Subject replied that He was an employee of DASHEN BANK and became nervous claiming that the local Govt was chasing him for the last three years just because his ethnicity belongs to AMHARA. He also admitted causing the damage as he was full of fear and couldn’t be able to control his mind. The subject seems to have no interest from Embassy except to draw attention.  Finally, ID copied, his direct photo taken and police took him to the nearest station for further investigation.",Other 2/18/2025
Kidnapping,NO,2/19/2025,9.01939449,38.75140743,Shewa,,,,Addis Ababa,None,None,"On February 19, 2025, Government security forces kidnapped five  Nigat Kokeb Ethiopia party members who were coordinating the party’s planned General Assembly. The officials allege that the abductions were aimed at obstructing the assembly, which is scheduled for next month.  The party has reported the matter to the Ethiopian Human Rights Commission (EHRC) and the National Election Board of Ethiopia (NEBE).",Kidnapping 2/19/2025
Murder,NO,2/19/2025,9.777232937,38.75777013,Shewa,,,,Addis Ababa,None,None,"On February 19, 2025, A district health official in North Shewa zone of Oromia region was killed in an ambush by unidentified gunmen. Tadesse Teferi, the Head of the Girar Jarso district Health Office, was attacked while returning from a visit to a local public school. The Head of the ruling Prosperity Party in the district, Zinabu Belete, who was injured during the attack, was hospitalized in the nearby town of Fiche. The Oromo Liberation Army (OLA) and Amhara’s Fano rebels are active in the area, which borders the North Shewa zone in Amhara region.",Murder 2/19/2025
