Event Type,COM Personnel?,Date,Latitude,Longitude,Region,Zone,Woreda,Kebele,Town,Injuries,Fatalities,Notes,Merged
Theft,NO,1/6/2025,8.990566,38.72876,Shewa,,,,Addis Ababa,None,None,"Monday January 06,2025 about 04:06hr Mobile Patrol noticed theft of telephone cable nearby COM residence PID #759. Thieves caught red handed while cutting the cable installed near by the main gate. Hence, contacted the area private security guards to report to the police, and police came at 04:25 with patrol plate no Police AA 0095 and took the thieves to custody for further investigation",Theft 1/6/2025
Robbery,NO,1/12/2025,9.00167,38.84871,Shewa,,,,Addis Ababa,None,None,"On January 12,2024 at around 9pm in Lemi Kura Sub City Woreda 9 Tesfaye Teka (LES) was walking from Summit Pepsi Factory area towards his residence which is on the way through Embassy of Saudi Arabia. Three robbers Parked a car with lights on by his walkway and when he was trying to pass the car two of them came to him and hold his neck and smashed his chest, the other one punched him on the chest and Tesfaye gets fainted, after that when he wakes up, he found himself laying on the street. He immediately reported the incident to the local Police. Tesfay's work ID (Badge), National ID, Resident Id, Driver's License, Insurance card, ATM cards, personal phone and 3,000 ETB were taken by the robbers.",Robbery 1/12/2025
Robbery,NO,1/12/2025,8.99695,38.88577,Shewa,,,,Addis Ababa,None,None,"Sunday January12,2025 morning at 0546 hrs. LGF member reported via phone that, he was robbed by two unknown peoples while heading to Embassy for his regular duty. Perpetrators took his belongings such as Cellphone, Embassy ID, wallet and 1500 Ethiopian birr at Bole-Arabisa, specifically water tanker area. Hence, I advised him to report to the area police and to go to hospital for medical checkup.",Robbery 1/12/2025
Robbery,NO,1/26/2025,8.99654,38.72579,Shewa,,,,Addis Ababa,None,None,SundayJanuary 26/2025at16:10hr occupant of Victor # 645 reported to MOP that his 14 years old son walking to the home around ICS school was snatched his cell phone by robbers pretending sick.Area police was informed to pay special attention to the situation.,Robbery 1/26/2025
Robbery,NO,1/29/2025,9.07129,38.8733,Shewa,,,,Addis Ababa,Yes,None,"Wednesday January 1,29/2025 around 05:00hr LGF member reported that robbers approached and stabbed him by knife on different parts of his body and managed to escape. This event happened around Yeka- Abado Condominium while victim was coming to Embassy to submit Sick leave.",Robbery 1/29/2025
Robbery,NO,2/2/2025,9.00457,38.88857,Shewa,,,,Addis Ababa,Yes,None,"Sunday, Feb. 02, 2025, around 07:40 hrs. two Embassy compound guards called through cellphone and reported that while they were out for physical exercise, and when they approached a place locally called” Ethiopian Airlines staff residential area”, (a junction from Hayat-49 to Arabsa village) strangled from their back by unidentified hoodlums (who were 6 in number). After they lost their consciousness and fell on the road the robbers took 2 cellphones and 5,000 ETB from each of their pocket, both are directed to report to the area police station and proceed to hospital to get medical examination.",Robbery 2/2/2025
Other Crime,NO,2/3/2025,9.05766,38.76326,Shewa,,,,Addis Ababa,None,None,"Monday February 03, 2025, at 10:40 hrs. LGF front post observed and reported about a young male who appeared at MCAC, looking for someone to talk to him. Duty shift supervisor contacted and asked the subject what he needs. The suspect replied that he wants to get access to Embassy SATCHMO center. However, he is displaying an outdated ID, given on 2018. Subject was told that his ID is already expired and needs to update through email, but he was not volunteer to accept the advice., even told the same by an American officer. Instead, he attempted to be violent disobeying to leave the area. Therefore, his expired SATCHMO ID was taken, and police forcedly took him for further investigation.",Other Crime 2/3/2025
Other Crime,NO,2/6/2025,9.01013,38.76291,Shewa,,,,Addis Ababa,None,None,"Thursday February 2,2025, MOB reported that peaceful demonstration was conducted in the middle of town Addis around 5:13AM. lots of people were seen heading towards Meskel Square through National theater. crowd comprises youth, disabled, women holding slogan that reads “Stop the killing of Tigrayan’s youth” using Tigrigna and Amharic language. Event was accompanied by Montarbo (Speaker) on pick up Vehicles and, Addis Ababa Police was securing the demonstration walking on foot and using Patrol Vehicles.",Other Crime 2/6/2025
Other Crime,NO,2/6/2025,9.01227,38.8213,Shewa,,,,Addis Ababa,None,None,"Thursday Feb 06, 2025, at 08:53AM LGF at state warehouse reported that, an electric line under transformer at front, across the street near by big store suddenly ignited, creating sparks and fire. But the fire ceased on its own after a short period time without causing further damage.",Other Crime 2/6/2025
Vehicle Accident,Yes,2/6/2025,8.977248,38.767251,Shewa,,,,Addis Ababa,None,None,Thursday February 6 2025 at 15:20hr car accident happened between our Embassy motorpool vehicle and ride taxi around Bole Bulbula area (specifically known as MariamMazoriia ),Vehicle Accident 2/6/2025
